key,en,ko,ja,zh-cn,zh-tw,fr,de,es,es-419,pt-br,ru
"meta.description","One world. Two realms. No mercy. A dark fantasy action-RPG from Theremin Interactive. Wishlist now.","하나의 세계, 두 개의 영역, 자비는 없다. 테레민 인터랙티브가 선보이는 다크 판타지 액션 RPG. 지금 위시리스트에 등록하세요.","一つの世界、二つの領域、慈悲はない。Theremin Interactiveが贈るダークファンタジーアクションRPG。今すぐウィッシュリストに追加しよう。","一个世界，两个领域，绝无仁慈。Theremin Interactive 出品的黑暗奇幻动作RPG。现在就加入愿望单。","一個世界，兩個領域，絕無仁慈。Theremin Interactive 打造的黑暗奇幻動作RPG。現在就加入願望清單。","Un monde. Deux royaumes. Aucune pitié. Un action-RPG dark fantasy signé Theremin Interactive. Ajoutez-le à votre liste de souhaits dès maintenant.","Eine Welt. Zwei Reiche. Keine Gnade. Ein düsteres Fantasy-Action-RPG von Theremin Interactive. Jetzt auf die Wunschliste setzen.","Un mundo. Dos reinos. Sin piedad. Un RPG de acción de fantasía oscura de Theremin Interactive. Añádelo a tu lista de deseos ahora.","Un mundo. Dos reinos. Sin piedad. Un RPG de acción de fantasía oscura de Theremin Interactive. Agrégalo a tu lista de deseos ahora.","Um mundo. Dois reinos. Nenhuma piedade. Um RPG de ação de fantasia sombria da Theremin Interactive. Adicione à sua lista de desejos agora.","Один мир. Два царства. Никакой пощады. Мрачное фэнтезийное экшен-RPG от Theremin Interactive. Добавьте в список желаемого прямо сейчас."
"nav.wishlist","Wishlist Now","위시리스트 등록","ウィッシュリストに追加","加入愿望单","加入願望清單","Liste de souhaits","Zur Wunschliste","Añadir a la lista de deseos","Agregar a la lista de deseos","Adicionar à lista de desejos","В список желаемого"
"hero.playDemo","Play Free Demo","무료 데모 플레이","無料デモをプレイ","免费试玩","免費試玩","Jouer à la démo gratuite","Kostenlose Demo spielen","Jugar la demo gratis","Jugar la demo gratis","Jogar demo grátis","Играть в бесплатную демоверсию"
"menu.toggle","Menu","메뉴","メニュー","菜单","選單","Menu","Menü","Menú","Menú","Menu","Меню"
"drawer.home","Home","홈","ホーム","首页","首頁","Accueil","Startseite","Inicio","Inicio","Início","Главная"
"drawer.world","The World","세계관","世界観","世界观","世界觀","L'univers","Die Welt","El mundo","El mundo","O mundo","Мир игры"
"drawer.feature","Feature","특징","特徴","特色","特色","Caractéristiques","Features","Características","Características","Recursos","Особенности"
"drawer.media","Media","미디어","メディア","媒体","媒體","Médias","Medien","Multimedia","Multimedia","Mídia","Медиа"
"hero.watchTrailer","Watch Trailer","예고편 보기","予告編を見る","观看预告片","觀看預告片","Voir la bande-annonce","Trailer ansehen","Ver tráiler","Ver tráiler","Assistir ao trailer","Смотреть трейлер"
"story.heading","The boy who lost his father has returned as a hunter—to drive an iron stake through the hearts of the wolves.","아버지를 잃은 소년은 사냥꾼이 되어 돌아왔다 — 늑대들의 심장에 쇠말뚝을 박기 위해.","父を失った少年は狩人となって帰ってきた——狼どもの心臓に鉄の杭を打ち込むために。","失去父亲的少年，化身猎人归来——只为将铁桩刺穿狼群的心脏。","失去父親的少年，化身獵人歸來——只為將鐵樁刺穿狼群的心臟。","Le garçon qui a perdu son père est revenu en chasseur — pour planter un pieu de fer dans le cœur des loups.","Der Junge, der seinen Vater verlor, ist als Jäger zurückgekehrt — um den Wölfen einen eisernen Pfahl durchs Herz zu treiben.","El niño que perdió a su padre ha regresado como cazador, para clavar una estaca de hierro en el corazón de los lobos.","El niño que perdió a su padre ha vuelto como cazador, para clavar una estaca de hierro en el corazón de los lobos.","O garoto que perdeu o pai voltou como caçador — para cravar uma estaca de ferro no coração dos lobos.","Мальчик, потерявший отца, вернулся охотником — чтобы вонзить железный кол в сердца волков."
"story.p1","A lawless world ruled by the Werewolf Syndicate. Human dignity has been trampled beneath the feet of beasts, and ‘The Legion,’ the world's last hope for salvation, faded into history 20 years ago following the gruesome death of its leader.","늑대인간 신디케이트가 지배하는 무법의 세계. 인간의 존엄은 짐승의 발밑에 짓밟혔고, 세상의 마지막 희망이었던 ‘군단’은 20년 전 지도자의 끔찍한 죽음과 함께 역사 속으로 사라졌다.","人狼シンジケートが支配する無法の世界。人間の尊厳は獣どもの足元に踏みにじられ、世界最後の希望であった「軍団」は20年前、指導者の凄惨な死とともに歴史の中に消えた。","一个由狼人辛迪加统治的无法之地。人类的尊严被野兽踩在脚下，世界最后的希望“军团”也在二十年前随着其领袖的惨死而湮没于历史。","一個由狼人辛迪加統治的無法之地。人類的尊嚴被野獸踩在腳下，世界最後的希望「軍團」也在二十年前隨著其領袖的慘死而湮沒於歷史。","Un monde sans loi dominé par le Syndicat des loups-garous. La dignité humaine a été piétinée sous les pattes des bêtes, et « la Légion », dernier espoir de salut du monde, s'est éteinte dans l'histoire il y a 20 ans après la mort atroce de son chef.","Eine gesetzlose Welt unter der Herrschaft des Werwolf-Syndikats. Die Würde des Menschen wurde unter den Pfoten der Bestien zertreten, und „die Legion“, die letzte Hoffnung der Welt auf Erlösung, verschwand vor 20 Jahren nach dem grausamen Tod ihres Anführers in der Geschichte.","Un mundo sin ley gobernado por el Sindicato de los Hombres Lobo. La dignidad humana ha sido pisoteada bajo las garras de las bestias, y “la Legión”, la última esperanza de salvación del mundo, se desvaneció en la historia hace 20 años tras la brutal muerte de su líder.","Un mundo sin ley gobernado por el Sindicato de los Hombres Lobo. La dignidad humana ha sido pisoteada bajo las garras de las bestias, y “la Legión”, la última esperanza de salvación del mundo, se desvaneció en la historia hace 20 años tras la brutal muerte de su líder.","Um mundo sem lei governado pelo Sindicato dos Lobisomens. A dignidade humana foi pisoteada sob as patas das bestas, e “a Legião”, última esperança de salvação do mundo, desapareceu na história há 20 anos após a morte brutal de seu líder.","Беззаконный мир под властью Синдиката оборотней. Человеческое достоинство растоптано под лапами зверей, а «Легион» — последняя надежда мира на спасение — канул в историю 20 лет назад после чудовищной гибели своего лидера."
"story.p2","An era of flawless control and absolute despair. But as the lords of the night revel in their dark triumph, an unknown executioner emerges from the shadows, brutally hunting down the werewolves.","완벽한 통제와 절대적인 절망의 시대. 그러나 밤의 지배자들이 어둠의 승리에 도취해 있는 사이, 정체불명의 처형자가 그림자 속에서 나타나 늑대인간들을 잔혹하게 사냥하기 시작한다.","完璧な支配と絶対的な絶望の時代。しかし夜の支配者たちが闇の勝利に酔いしれる中、正体不明の処刑人が影の中から現れ、人狼どもを無慈悲に狩り始める。","一个统治完美、绝望至极的时代。然而正当夜之领主们沉醉于黑暗的胜利之际，一名身份不明的处刑者从阴影中现身，开始残忍地猎杀狼人。","一個統治完美、絕望至極的時代。然而正當夜之領主們沉醉於黑暗的勝利之際，一名身份不明的處刑者從陰影中現身，開始殘忍地獵殺狼人。","Une ère de domination parfaite et de désespoir absolu. Mais tandis que les seigneurs de la nuit savourent leur triomphe ténébreux, un exécuteur inconnu surgit de l'ombre et traque brutalement les loups-garous.","Eine Ära makelloser Kontrolle und absoluter Verzweiflung. Doch während die Herren der Nacht ihren finsteren Triumph auskosten, taucht aus den Schatten ein unbekannter Henker auf, der die Werwölfe gnadenlos jagt.","Una era de control absoluto y desesperación total. Pero mientras los señores de la noche saborean su oscuro triunfo, un verdugo desconocido emerge de las sombras para dar caza brutal a los hombres lobo.","Una era de control absoluto y desesperación total. Pero mientras los señores de la noche disfrutan de su oscuro triunfo, un verdugo desconocido emerge de las sombras para cazar brutalmente a los hombres lobo.","Uma era de controle absoluto e desespero total. Mas enquanto os senhores da noite saboreiam seu triunfo sombrio, um executor desconhecido surge das sombras, caçando brutalmente os lobisomens.","Эпоха безупречного контроля и абсолютного отчаяния. Но пока владыки ночи упиваются своим мрачным триумфом, из тени появляется неизвестный палач, безжалостно охотящийся на оборотней."
