id,outlet,url,en,ko,ja,zh-cn,zh-tw,fr,de,es,es-419,pt-br,ru
kotaku-es,"kotaku.es","https://es.kotaku.com/legion-of-judgment-fallen-angel-estrena-una-demo-gratuita-que-anticipa-su-brutal-combate-y-un-oscuro-mundo-noir-2000046372","Legion of Judgment: Fallen Angel debuts a free demo previewing its brutal combat and dark noir world","《Legion of Judgment: Fallen Angel》, 잔혹한 전투와 어두운 느와르 세계를 미리 보여주는 무료 데모 공개","『Legion of Judgment: Fallen Angel』、過酷な戦闘と暗いノワール世界を予感させる無料デモを配信","《Legion of Judgment: Fallen Angel》推出免费试玩版，预告其残酷战斗与黑暗黑色电影风格世界","《Legion of Judgment: Fallen Angel》推出免費試玩版，預告其殘酷戰鬥與黑暗黑色電影風格世界","Legion of Judgment: Fallen Angel lance une démo gratuite qui dévoile son combat brutal et son sombre univers noir","Legion of Judgment: Fallen Angel veröffentlicht eine kostenlose Demo, die brutale Kämpfe und eine düstere Noir-Welt ankündigt","Legion of Judgment: Fallen Angel estrena una demo gratuita que anticipa su brutal combate y un oscuro mundo noir","Legion of Judgment: Fallen Angel estrena una demo gratuita que anticipa su brutal combate y un oscuro mundo noir","Legion of Judgment: Fallen Angel lança demo gratuita que antecipa seu combate brutal e sombrio mundo noir","Legion of Judgment: Fallen Angel выпускает бесплатную демоверсию, демонстрирующую жестокие бои и мрачный нуар-мир"
dengekionline,"dengekionline.com","https://dengekionline.com/article/202607/80839","New action game 'Legion of Judgment' explores a dark real world — demo now available, offering an intense 20-minute combat cycle","어두운 현실 세계를 탐험하는 신작 액션 『Legion of Judgment』 데모 버전 공개. 약 20분간의 긴박한 전투 사이클을 체험","ダークな現実世界を探索する新作アクション『Legion of Judgment』デモ版が配信。約20分間の緊迫した戦闘サイクルを体験","探索黑暗现实世界的新作动作游戏《Legion of Judgment》推出试玩版，体验约20分钟紧张刺激的战斗循环","探索黑暗現實世界的新作動作遊戲《Legion of Judgment》推出試玩版，體驗約20分鐘緊張刺激的戰鬥循環","Legion of Judgment, le nouveau jeu d'action qui explore un monde réel sombre, dévoile sa démo — vivez environ 20 minutes d'un cycle de combat intense","Neues Actionspiel 'Legion of Judgment' erkundet eine düstere reale Welt — Demo jetzt verfügbar mit rund 20 Minuten intensivem Kampf-Zyklus","El nuevo juego de acción 'Legion of Judgment' explora un oscuro mundo real: ya disponible su demo, con unos 20 minutos de intenso ciclo de combate","El nuevo juego de acción 'Legion of Judgment' explora un oscuro mundo real: ya disponible su demo, con unos 20 minutos de intenso ciclo de combate","O novo jogo de ação 'Legion of Judgment' explora um sombrio mundo real — demo já disponível, com cerca de 20 minutos de um intenso ciclo de combate","Новый экшен Legion of Judgment исследует мрачный реальный мир — вышла демоверсия с напряжённым 20-минутным боевым циклом"
invenglobal,"invenglobal.com","https://www.invenglobal.com/articles/23967/legion-of-judgment-is-just-the-beginning-we-will-continue-to-improve-its-quality","'Legion of Judgment' is just the beginning; we will continue to improve its quality","『Legion of Judgment』는 이제 시작일 뿐, 앞으로도 완성도를 계속 높여 나가겠다","『Legion of Judgment』はまだ始まりに過ぎない、これからもクオリティを高め続けていく","《Legion of Judgment》才刚刚开始，我们将持续提升其品质","《Legion of Judgment》才剛剛開始，我們將持續提升其品質","Legion of Judgment n'en est qu'à ses débuts ; nous continuerons d'en améliorer la qualité","Legion of Judgment steht erst am Anfang; wir werden die Qualität weiter verbessern","Legion of Judgment apenas está comenzando; seguiremos mejorando su calidad","Legion of Judgment apenas está comenzando; seguiremos mejorando su calidad","Legion of Judgment é apenas o começo; continuaremos aprimorando sua qualidade","Legion of Judgment — это только начало; мы продолжим повышать качество игры"
pcgames-de,"pcgames.de","https://www.pcgames.de/Spiele-Thema-239104/News/Neues-Metroidvania-Legion-of-Judgment-Fallen-Angel-kostenlos-spielen-1549842/?utm_source=x.com&utm_campaign=sharebutton&utm_medium=social","Legion of Judgment: Hotel management meets dark Metroidvania action","Legion of Judgment: 호텔 경영이 어두운 메트로배니아 액션과 만나다","Legion of Judgment：ホテル経営がダークなメトロヴァニアアクションと融合","Legion of Judgment：旅馆经营与黑暗银河恶魔城动作的碰撞","Legion of Judgment：旅館經營與黑暗銀河惡魔城動作的碰撞","Legion of Judgment : la gestion d'hôtel rencontre l'action Metroidvania sombre","Legion of Judgment: Hotel-Management trifft auf düstere Metroidvania-Action","Legion of Judgment: la gestión de un hotel se encuentra con la oscura acción Metroidvania","Legion of Judgment: la gestión de un hotel se encuentra con la oscura acción Metroidvania","Legion of Judgment: a gestão de hotel encontra a sombria ação Metroidvania","Legion of Judgment: управление отелем встречается с мрачным экшеном в жанре метроидвания"
cogconnected,"cogconnected.com","https://cogconnected.com/2026/07/legion-of-judgment-fallen-angel-launches-free-global-alpha-demo-on-steam/","Legion of Judgment: Fallen Angel Launches Free Global Alpha Demo on Steam","Legion of Judgment: Fallen Angel, Steam에서 무료 글로벌 알파 데모 출시","Legion of Judgment: Fallen Angel、Steamで無料のグローバルアルファデモをリリース","《Legion of Judgment: Fallen Angel》在Steam上推出免费全球阿尔法试玩版","《Legion of Judgment: Fallen Angel》在Steam上推出免費全球Alpha試玩版","Legion of Judgment: Fallen Angel lance une démo alpha mondiale gratuite sur Steam","Legion of Judgment: Fallen Angel veröffentlicht kostenlose globale Alpha-Demo auf Steam","Legion of Judgment: Fallen Angel lanza una demo alfa global gratuita en Steam","Legion of Judgment: Fallen Angel lanza una demo alfa global gratuita en Steam","Legion of Judgment: Fallen Angel lança demo alfa global gratuita na Steam","Legion of Judgment: Fallen Angel выпускает бесплатную глобальную альфа-демоверсию в Steam"
gamebiz,"gamebiz.jp","https://gamebiz.jp/news/429123","Theremin Interactive releases alpha demo for 2.5D noir action-Metroidvania RPG 'Legion of Judgment: Fallen Angel'","Theremin Interactive, 2.5D 느와르 액션 메트로배니아 RPG 『Legion of Judgment: Fallen Angel』 알파 데모 출시","Theremin Interactive、2.5Dノワールアクション・メトロイドヴァニアRPG『Legion of Judgment: Fallen Angel』αデモをリリース","Theremin Interactive发布2.5D黑色电影风格动作银河恶魔城RPG《Legion of Judgment: Fallen Angel》阿尔法试玩版","Theremin Interactive發布2.5D黑色電影風格動作銀河惡魔城RPG《Legion of Judgment: Fallen Angel》Alpha試玩版","Theremin Interactive publie la démo alpha du RPG Metroidvania d'action noir en 2.5D Legion of Judgment: Fallen Angel","Theremin Interactive veröffentlicht Alpha-Demo für das 2.5D-Noir-Action-Metroidvania-RPG 'Legion of Judgment: Fallen Angel'","Theremin Interactive lanza la demo alfa del RPG Metroidvania de acción noir en 2.5D 'Legion of Judgment: Fallen Angel'","Theremin Interactive lanza la demo alfa del RPG Metroidvania de acción noir en 2.5D 'Legion of Judgment: Fallen Angel'","Theremin Interactive lança demo alfa do RPG Metroidvania de ação noir em 2.5D 'Legion of Judgment: Fallen Angel'","Theremin Interactive выпускает альфа-демоверсию 2.5D нуар-экшен-метроидвании RPG Legion of Judgment: Fallen Angel"
gamingdeputy,"gamingdeputy.com","https://www.gamingdeputy.com/fr/legion-of-judgment-fallen-angel-lance-une-demo-alpha-mondiale-gratuite-sur-steam/","Legion of Judgment: Fallen Angel launches a free global alpha demo on Steam","Legion of Judgment: Fallen Angel, Steam에서 무료 글로벌 알파 데모 출시","Legion of Judgment: Fallen Angel、Steamで無料のグローバルアルファデモをリリース","《Legion of Judgment: Fallen Angel》在Steam上推出免费全球阿尔法试玩版","《Legion of Judgment: Fallen Angel》在Steam上推出免費全球Alpha試玩版","Legion of Judgment: Fallen Angel lance une démo alpha mondiale gratuite sur Steam","Legion of Judgment: Fallen Angel veröffentlicht kostenlose globale Alpha-Demo auf Steam","Legion of Judgment: Fallen Angel lanza una demo alfa global gratuita en Steam","Legion of Judgment: Fallen Angel lanza una demo alfa global gratuita en Steam","Legion of Judgment: Fallen Angel lança demo alfa global gratuita na Steam","Legion of Judgment: Fallen Angel выпускает бесплатную глобальную альфа-демоверсию в Steam"
techmash,"techmash.co.uk","https://techmash.co.uk/2026/07/02/katana-steel-meets-urban-noir-legion-of-judgment-fallen-angel-drops-global-alpha-demo-on-steam/","Katana Steel Meets Urban Noir: Legion of Judgment: Fallen Angel Drops Global Alpha Demo on Steam","카타나와 강철이 도시 느와르와 만나다: Legion of Judgment: Fallen Angel, Steam에서 글로벌 알파 데모 공개","刀剣と鋼鉄が都市ノワールと出会う: 『Legion of Judgment: Fallen Angel』、Steamでグローバルアルファデモを配信","武士刀与钢铁邂逅都市黑色电影风格：《Legion of Judgment: Fallen Angel》在Steam发布全球阿尔法试玩版","武士刀與鋼鐵邂逅都市黑色電影風格：《Legion of Judgment: Fallen Angel》在Steam發布全球Alpha試玩版","Le sabre et l'acier rencontrent le noir urbain : Legion of Judgment: Fallen Angel dévoile sa démo alpha mondiale sur Steam","Katana und Stahl treffen auf urbanen Noir: Legion of Judgment: Fallen Angel veröffentlicht globale Alpha-Demo auf Steam","La katana de acero se encuentra con el noir urbano: Legion of Judgment: Fallen Angel lanza su demo alfa global en Steam","La katana de acero se encuentra con el noir urbano: Legion of Judgment: Fallen Angel lanza su demo alfa global en Steam","A katana de aço encontra o noir urbano: Legion of Judgment: Fallen Angel lança sua demo alfa global na Steam","Катана и сталь встречают городской нуар: Legion of Judgment: Fallen Angel выпускает глобальную альфа-демоверсию в Steam"
gamezilla,"gamezilla.it","https://www.gamezilla.it/legion-of-judgment-fallen-angel-porta-su-steam-la-demo-alpha-globale/","Legion of Judgment: Fallen Angel brings the global alpha demo to Steam","Legion of Judgment: Fallen Angel, Steam에 글로벌 알파 데모 공개","Legion of Judgment: Fallen Angel、Steamにグローバルアルファデモを投入","《Legion of Judgment: Fallen Angel》将全球阿尔法试玩版带上Steam","《Legion of Judgment: Fallen Angel》將全球Alpha試玩版帶上Steam","Legion of Judgment: Fallen Angel apporte sa démo alpha mondiale sur Steam","Legion of Judgment: Fallen Angel bringt die globale Alpha-Demo auf Steam","Legion of Judgment: Fallen Angel lleva su demo alfa global a Steam","Legion of Judgment: Fallen Angel lleva su demo alfa global a Steam","Legion of Judgment: Fallen Angel leva sua demo alfa global à Steam","Legion of Judgment: Fallen Angel выпускает глобальную альфа-демоверсию в Steam"
nextplayer,"nextplayer.it","https://www.nextplayer.it/il-metroidvania-dazione-noir-in-2-5d-legion-of-judgment-fallen-angel-lancia-la-sua-demo-alpha-globale-su-steam/","The 2.5D noir action-Metroidvania 'Legion of Judgment: Fallen Angel' launches its global alpha demo on Steam!","2.5D 느와르 액션 메트로배니아 『Legion of Judgment: Fallen Angel』, Steam에서 글로벌 알파 데모 출시!","2.5Dノワールアクション・メトロヴァニア『Legion of Judgment: Fallen Angel』、Steamでグローバルアルファデモをリリース!","2.5D黑色电影风格动作银河恶魔城游戏《Legion of Judgment: Fallen Angel》在Steam推出全球阿尔法试玩版！","2.5D黑色電影風格動作銀河惡魔城遊戲《Legion of Judgment: Fallen Angel》在Steam推出全球Alpha試玩版！","Le metroidvania d'action noir en 2.5D Legion of Judgment: Fallen Angel lance sa démo alpha mondiale sur Steam !","Das 2.5D-Noir-Action-Metroidvania 'Legion of Judgment: Fallen Angel' veröffentlicht seine globale Alpha-Demo auf Steam!","El metroidvania de acción noir en 2.5D 'Legion of Judgment: Fallen Angel' lanza su demo alfa global en Steam!","El metroidvania de acción noir en 2.5D 'Legion of Judgment: Fallen Angel' lanza su demo alfa global en Steam!","O metroidvania de ação noir em 2.5D 'Legion of Judgment: Fallen Angel' lança sua demo alfa global na Steam!","2.5D нуар-экшен-метроидвания Legion of Judgment: Fallen Angel выпускает глобальную альфа-демоверсию в Steam!"
